company_name,cik
ICTS INTERNATIONAL N V,1010134
KOBEX MINERALS INC.,1102706
INDUSTRIAL DEVELOPMENT BANK OF ISRAEL LTD,50277
INFINEON TECHNOLOGIES AG,1107457
INFOSYS TECHNOLOGIES LTD,1067491
ING GROEP NV,1039765
InNexus Biotechnology Inc,1278730
INTERCONTINENTAL HOTELS GROUP PLC /NEW/,858446
INTERNATIONAL ROYALTY CORP,1362734
INTERNATIONAL TOWER HILL MINES LTD,1134115
INTERNET GOLD GOLDEN LINES LTD,1090159
INTERNET INITIATIVE JAPAN INC,1090633
INTEROIL CORP,1221715
INTERTAPE POLYMER GROUP INC,880224
IRSA INVESTMENTS & REPRESENTATIONS INC,933267
IVANHOE ENERGY INC,1106935
IVANHOE MINES LTD,1158041
IncrediMail Ltd.,1338940
Industrias Bachoco S.A.B. de C.V.,1044896
Inmarsat Finance II plc,1309689
Inmarsat Finance plc,1291396
Inmarsat Group LTD,1291398
Inmarsat Holdings LTD,1309690
Invitel Holdings A/S,1450598
Ituran Location & Control Ltd.,1337117
"JA Solar Holdings Co., Ltd.",1385598
JACADA LTD,1095747
JED OIL INC.,1258021
JINPAN INTERNATIONAL LTD,1053008
Jaguar Mining Inc,1333849
Journey Resources Corp.,1396368
KB Financial Group Inc.,1445930
KINGSWAY FINANCIAL SERVICES INC,1072627
KINROSS GOLD CORP,701818
KNIGHTSBRIDGE TANKERS LTD,1029145
KOLA MINING CORP.,1123267
KOMATSU LTD,56594
KONAMI CORP,1191141
KONGZHONG CORP,1285137
KONINKLIJKE PHILIPS ELECTRONICS NV,313216
KOREA ELECTRIC POWER CORP,887225
KT CORP,892450
KUBOTA CORP,109821
KYOCERA CORP,57083
Kabel Deutschland GmbH,1359736
Kabel Deutschland Vertrieb und Service GmbH & Co. KG,1359737
Keegan Resources Inc.,1377757
Kimber Resources Inc.,1294662
LABOPHARM INC,1284519
"FOREIGN TRADE BANK OF LATIN AMERICA, INC.",890541
"LDK Solar Co., Ltd.",1385424
LEADING BRANDS INC,884247
LEVON RESOURCES LTD.,764195
"LG Display Co., Ltd.",1290109
LIHIR GOLD LTD,1000300
LINKTONE LTD,1270532
LINUX GOLD CORP,1088158
LJ INTERNATIONAL INC,1046692
Lloyds Banking Group plc,1160106
LONGTOP FINANCIAL TECHNOLOGIES LTD,1412494
LORUS THERAPEUTICS INC,882361
LPBP INC,1132907
LUMENIS LTD,1004945
LUXOTTICA GROUP SPA,857471
Lan Airlines SA,1047716
LiveReel Media CORP,1168981
Lundin Mining CORP,1377085
MADECO S.A.,899296
MADISON MINERALS INC,1038621
MAG SILVER CORP,1230992
MAGAL SECURITY SYSTEMS LTD,896494
MAGIC SOFTWARE ENTERPRISES LTD,876779
MAGNA INTERNATIONAL INC,749098
MAHANAGAR TELEPHONE NIGAM LTD,1160262
MAKITA CORP,202467
MANULIFE FINANCIAL CORP,1086888
MASONITE INTERNATIONAL INC.,1383505
MAX RESOURCE CORP.,1116548
MAXCOM TELECOMMUNICATIONS INC,1113306
MDS INC.,1057698
MEDICURE INC,1133519
MEGAWEST ENERGY CORP.,1172298
MER TELEMANAGEMENT SOLUTIONS LTD,1025561
MERIDIAN CO LTD,1135174
METAL STORM LTD  /ADR/,1119775
METALINK LTD,1098462
METHANEX CORP,886977
METROGAS INC,931069
MEXICAN ECONOMIC DEVELOPMENT INC,1061736
MEXICAN PETROLEUM,932782
MI DEVELOPMENTS INC,1252509
MICROMEM TECHNOLOGIES INC,1085921
MIGENIX Inc.,915458
MILLAR WESTERN FOREST PRODUCTS LTD,1064408
MILLICOM INTERNATIONAL CELLULAR SA,912958
MINCO GOLD CORP,1020825
MIND CTI LTD,1119083
MINEFINDERS CORP LTD.,926479
MINERA ANDES INC /WA,1030219
MIRANDA GOLD CORP,942149
MITSUBISHI UFJ FINANCIAL GROUP INC,67088
MITSUI & CO LTD,67099
MIZUHO FINANCIAL GROUP INC,1335730
MOBILE TELESYSTEMS OJSC,1115837
Macro Bank Inc.,1347426
Magyar Telekom Plc.,1047564
Mechel OAO,1302362
Melco Crown Entertainment LTD,1381640
Mindray Medical International LTD,1373060
"MS&AD Insurance Group Holdings, Inc.",1431048
Mountain Province Diamonds Inc.,1004530
NAM TAI ELECTRONICS INC,829365
NATIONAL BANK OF GREECE SA,1096061
NATIONAL GRID PLC,1004315
NATIONAL STEEL CO,1049659
NATIONAL WESTMINSTER BANK PLC /ENG/,702162
NATUZZI S P A,900391
NEOVASC INC,1399708
NET SERVICOS DE COMUNICACAO S A,1024446
"NETEASE.COM, INC.",1110646
NEVADA GEOTHERMAL POWER INC,1177440
NEVSUN RESOURCES LTD,919991
NEWCASTLE RESOURCES LTD.,1205059
NEXEN INC,16873
NICE SYSTEMS LTD,1003935
NIDEC CORP,1158967
NINETOWNS INTERNET TECHNOLOGY GROUP CO LTD,1285735
NIPPON TELEGRAPH & TELEPHONE CORP,769594
NOAH EDUCATION HOLDINGS LTD.,1411825
NOKIA CORP,924613
NOMURA HOLDINGS INC,1163653
NORDIC AMERICAN TANKER SHIPPING LTD,1000177
NORTEL INVESTMENTS INC,877691
NORTH AMERICAN PALLADIUM LTD,887701
NORTHCORE TECHNOLOGIES INC.,1079171
NORTHERN DYNASTY MINERALS LTD,1164771
NOVA CHEMICALS CORP /NEW,922960
NOVA MEASURING INSTRUMENTS LTD,1109345
NOVAGOLD RESOURCES INC,1173420
NOVARTIS AG,1114448
NOVO NORDISK A S,353278
NOVOGEN LTD,1075880
NTT DOCOMO INC,1166141
NWT Uranium Corp.,1290982
NXP B.V.,1396945
NXT Energy Solutions Inc.,1009922
NYMOX PHARMACEUTICAL CORP,1018735
Navios Maritime Holdings Inc.,1333172
Navios Maritime Partners L.P.,1415921
Neptune Technologies & Bioressources Inc.,1401395
New Gold Inc. /FI,800166
New Oriental Education & Technology Group Inc.,1372920
Norsat International Inc.,748213
North American Energy Partners Inc.,1368519
Northgate Minerals CORP,72931
O2MICRO INTERNATIONAL LTD,1095348
OCEANFREIGHT INC.,1395593
OLYMPUS PACIFIC MINERALS INC,1164099
ON TRACK INNOVATIONS LTD,1021604
ONCOLYTICS BIOTECH INC,1129928
OPEN JOINT STOCK CO LONG DISTANCE & INTERNAT COMM ROSTELECOM,1054487
OPEN JOINT STOCK CO VIMPEL COMMUNICATIONS,1023977
OPTI CANADA INC,1177446
OPTIBASE LTD,1077618
ORBITAL CORP LTD,880419
ORBOTECH LTD,749037
ORCKIT COMMUNICATIONS LTD,1021620
OREZONE RESOURCES INC,1215546
ORIX CORP,1070304
OROMIN EXPLORATIONS LTD,1109141
"Oceanaut, Inc.",1364714
"Omega Navigation Enterprises, Inc.",1324915
Origin Agritech LTD,1321851
PACIFIC HARBOUR CAPITAL LTD,936801
PACIFIC NORTH WEST CAPITAL CORP /CN,1073238
PACIFIC RIM MINING CORP,1056512
PAN AMERICAN SILVER CORP,771992
PANASONIC Corp,63271
Perpetual Energy Inc.,1177293
PARAMOUNT RESOURCES LTD,1262767
PARTNER COMMUNICATIONS CO LTD,1096691
PATCH INTERNATIONAL INC/CN,1064481
PCL Employees Holdings Ltd.,1326107
PEACE ARCH ENTERTAINMENT GROUP INC,1038367
PEARSON PLC,938323
PEMEX FINANCE LTD,1096057
PENGROWTH ENERGY TRUST,1088166
